"questions","keys","datadic","value","valuelabels"
"Easy to chat with, even if it isn't on a topic that specially interests him/her.","SAS_03","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
"Finds the right thing to say or do in order to defuse a tense or embarrassing situation","SAS_04","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
"Graceful when s/he doesn't win or get his/her own way. A good loser.","SAS_05","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
"Other people feel at ease around him/her.","SAS_06","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
"By reading between the lines of what people say, s/he can work out what they are really thinking and feeling.","SAS_07","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
"After doing something wrong, s/he's able to say sorry and sort it out so that there are no hard feelings.","SAS_08","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
"Can take the lead without others feeling they are being bossed about.","SAS_09","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
"Aware of what is and isn't appropriate in different social situations.","SAS_10","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
"Scores","","SAS","",""
"1. When my child feels frightened, it is hard to breathe","SCARED_P_01","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"2. My child gets headaches when he/she is at school","SCARED_P_02","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"3. My child doesn’t like to be with people he/she does't know well","SCARED_P_03","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"4. My child gets scared if he/she sleeps away from home","SCARED_P_04","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"5. My child worries about other people liking him/her","SCARED_P_05","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"6. When my child gets frightened, he/she fells like passing out","SCARED_P_06","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"7. My child is nervous","SCARED_P_07","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"8. My child follows me wherever I go","SCARED_P_08","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"9. People tell me that my child looks nervous","SCARED_P_09","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"10. My child feels nervous with people he/she doesn’t know well","SCARED_P_10","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"11. My child gets stomachaches at school","SCARED_P_11","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"12. When my child gets frightened, he/she feels like he/she is going crazy","SCARED_P_12","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"13. My child worries about sleeping alone","SCARED_P_13","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"14. My child worries about being as good as other kids","SCARED_P_14","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"15. When my child gets frightened, he/she feels like things are not real","SCARED_P_15","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"16. My child has nightmares about something bad happening to his/her parents","SCARED_P_16","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"17. My child worries about going to school","SCARED_P_17","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"18. When my child gets frightened, his/her heart beats fast","SCARED_P_18","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"19. He/she child gets shaky","SCARED_P_19","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"20. My child has nightmares about something bad happening to him/her","SCARED_P_20","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"21. My child worries about things working out for him/her","SCARED_P_21","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"22. When my child gets frightened, he/she sweats a lot","SCARED_P_22","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"23. My child is a worrier","SCARED_P_23","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"24. My child gets really frightened for no reason at all","SCARED_P_24","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"25. My child is afraid to be alone in the house","SCARED_P_25","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"26. It is hard for my child to talk with people he/she doesn't know well","SCARED_P_26","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"27. When my child gets frightened, he/she feels like he/she is choking ","SCARED_P_27","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"28. People tell me that my child worries too much","SCARED_P_28","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"29. My child doesn't like to be away from his/her family","SCARED_P_29","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"30. My child is afraid of having anxiety (or panic) attacks","SCARED_P_30","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"31. My child worries that something bad will happen to his/her parents","SCARED_P_31","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"32. My child feels shy with people he/she doesn't know well","SCARED_P_32","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"33. My child worries about what is going to happen in the future","SCARED_P_33","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"34. When my child gets frightened, he/she feels like throwing up","SCARED_P_34","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"35. My child worries about how well he/she does things","SCARED_P_35","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"36. My child is scared to go to school","SCARED_P_36","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"37. My child worries about things that have already happened ","SCARED_P_37","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"38. When my child gets frightened, he/she feels dizzy","SCARED_P_38","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"39. My child feels nervous when he/she is with other children or adults and he/she has to do something while they watch him/her (for example: read aloud, speak, play agame, play a sport)","SCARED_P_39","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"40. My child feels nervous when he/she is going to parties, dances, or any place where there will be people that he/she doesn’t know well","SCARED_P_40","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"41. My child is shy","SCARED_P_41","SCARED_P","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"Scores","","SCARED_P","","Clinical Cutoff"
"Generalized Anxiety Disorder Score","SCARED_P_GD","SCARED_P","0-18",">=9 May indicate Generalized Anxiety Disorder"
"Panic Disorder Score","SCARED_P_PN","SCARED_P","0-26",">=7 May indicate Panic Disorder or Significant Somatic Symptoms"
"Social Anxiety Disorder Score","SCARED_P_SC","SCARED_P","0-14",">=8 May indicate Social Anxiety Disorder"
"Significant School Avoidance Score","SCARED_P_SH","SCARED_P","0-8",">=3 May indicate Significant School Avoidance"
"Separation Anxiety SOC Score","SCARED_P_SP","SCARED_P","0-16",">=5 May indicate Separation Anxiety"
"Total Score","SCARED_P_Total","SCARED_P","0-82",">= 25 May indicate an Anxiety Disorder"
"1. When I feel frightened, it is hard to breathe ","SCARED_SR_01","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"2. I get heacaches when I am at school ","SCARED_SR_02","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"3. I don’t like to be with people I don’t know well ","SCARED_SR_03","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"4. I get scared when I sleep away from home ","SCARED_SR_04","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"5. I worry about other people liking me ","SCARED_SR_05","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"6. When I get frightened, I feel like passing out ","SCARED_SR_06","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"7. I am nervous ","SCARED_SR_07","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"8. I follow my mother or father wherever they go","SCARED_SR_08","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"9. People tell me that I look nervous ","SCARED_SR_09","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"10. I feel nervous with people I don’t know well ","SCARED_SR_10","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"11. I get stomachaches at school ","SCARED_SR_11","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"12. When I get frightened, I feel like I am going crazy ","SCARED_SR_12","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"13. I worry about sleeping alone ","SCARED_SR_13","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"14. I worry about being as good as other kids ","SCARED_SR_14","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"15. When I get frightened, I feel like things are not real ","SCARED_SR_15","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"16. I have nightmares about something bad happening to my parents ","SCARED_SR_16","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"17. I worry about going to school ","SCARED_SR_17","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"18. When I get frightened, my heart beats fast ","SCARED_SR_18","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"19. I get shaky ","SCARED_SR_19","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"20. I have nightmares about something bad happening to me ","SCARED_SR_20","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"21. I worry about things working out for me ","SCARED_SR_21","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"22. When I get frightened, I sweat a lot ","SCARED_SR_22","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"23. I am a worrier ","SCARED_SR_23","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"24. I get really frieghtened for no reason at all ","SCARED_SR_24","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"25. I am afraid to be alone in the house ","SCARED_SR_25","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"26. It is hard for me to talk with people I don’t know well ","SCARED_SR_26","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
"27. When I get frightened, I feel like I am choking ","SCARED_SR_27","SCARED_SR","0-2","0=Not True or Hardly Ever True, 1=Somewhat True or Sometimes True, 2=Very True or Often True"
